,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
17141,4,LONG ISLAND CITY,29 COMMERCIAL GARAGES                      ,4,365,1, ,G9,22-11 38TH   AVENUE, ,11101,0,2,2,30000,57755,2015,4,G9,"$23,000,000.00",12/30/2016
17681,4,MASPETH,30 WAREHOUSES                              ,4,2573,124, ,E1,55-30 58TH   STREET, ,11378,0,0,0,106500,106000,1950,4,E1,"$20,600,000.00",11/9/2016
21277,4,RICHMOND HILL,27 FACTORIES                               ,4,9331,30, ,F1,87-46 123RD STREET, ,11418,0,1,1,95123,138000,1931,4,F1,"$18,100,000.00",6/16/2017
22890,4,SO. JAMAICA-BAISLEY PARK,26 OTHER HOTELS                            ,4,12093,20, ,H3,138-10 135TH   AVENUE, ,11436,335,1,336,75700,233210,1959,4,H3,"$58,070,000.00",4/21/2017
25267,4,SUNNYSIDE,08 RENTALS - ELEVATOR APARTMENTS           ,2,129,70, ,D1,39-89 50TH STREET, ,11104,60,0,60,12500,54490,1953,2,D1,"$14,996,374.00",12/8/2016
1190,5,CLOVE LAKES,10 COOPS - ELEVATOR APARTMENTS             ,2,327,15, ,D4,1000 CLOVE ROAD, ,10301,143,0,143,82250,127800,1966,2,D4,"$120,000.00",12/6/2016
3622,5,MARINERS HARBOR,27 FACTORIES                               ,4,1161,1, ,F5,125 LAKE AVENUE, ,10303,0,1,1,294144,166543,1945,4,F5,"$8,050,000.00",11/8/2016
5202,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,4,2400,210, ,K3,140 MARSH AVENUE, ,10314,0,1,1,754754,179200,1993,4,K3,"$4,346,648.00",3/17/2017
5428,5,PORT IVORY,07 RENTALS - WALKUP APARTMENTS             ,2,1392,2, ,CM,2701 GOETHALS ROAD NORTH, ,10303,128,0,128,354000,115200,1984,2,CM,"$90,000.00",5/19/2017
7048,5,TODT HILL,33 EDUCATIONAL FACILITIES                  ,4,683,301, ,W1,MILFORD DRIVE, ,0,0,1,1,78672,126468,1965,4,W1,$1.00,12/9/2016
8412,5,WOODROW,22 STORE BUILDINGS                         ,4,7100,28, ,K6,2730 ARTHUR KILL ROAD, ,10309,0,7,7,208033,64117,2001,4,K6,"$11,693,337.00",12/21/2016
