,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3472,2,MOTT HAVEN/PORT MORRIS,30 WAREHOUSES                              ,4,2588,33, ,E1,845 EAST 136 STREET, ,10454,0,3,3,55773,88000,1929,4,E1,"$19,086,600.00",8/17/2017
3554,2,MOUNT HOPE/MOUNT EDEN,08 RENTALS - ELEVATOR APARTMENTS           ,2,2821,68, ,D1,1511 SHERIDAN AVENUE, ,10457,222,0,222,45700,202418,1929,2,D1,"$38,100,000.00",3/20/2017
3555,2,MOUNT HOPE/MOUNT EDEN,08 RENTALS - ELEVATOR APARTMENTS           ,2,2850,23, ,D1,1765 TOWNSEND AVENUE, ,10453,99,0,99,14500,88227,2007,2,D1,"$26,000,000.00",2/16/2017
4325,2,PELHAM PARKWAY SOUTH,08 RENTALS - ELEVATOR APARTMENTS           ,2,4222,84, ,D3,1579 RHINELANDER AVENUE, ,10461,130,0,130,52200,140628,1961,2,D3,$0.00,9/21/2016
4382,2,PELHAM PARKWAY SOUTH,32 HOSPITAL AND HEALTH FACILITIES          ,4,4205,3, ,I1,1301 MORRIS PARK AVENUE, ,10461,0,1,1,215194,217000,2008,4,I1,$0.00,9/21/2016
4384,2,PELHAM PARKWAY SOUTH,32 HOSPITAL AND HEALTH FACILITIES          ,4,4205,55, ,I1,1410 PELHAM PARKWAY SOUTH, ,10461,0,0,0,42855,120650,1965,4,I1,$0.00,9/21/2016
4475,2,RIVERDALE,08 RENTALS - ELEVATOR APARTMENTS           ,2,5904,267, ,D1,600 WEST 239 STREET, ,10463,90,0,90,30350,98681,1956,2,D1,$0.00,12/28/2016
4768,2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5909,31, ,D4,4499 HENRY HUDSON PARKWAY, ,10471,58,0,58,43750,70000,1952,2,D4,"$180,000.00",1/12/2017
4775,2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5909,970, ,D4,4555 HENRY HUDSON PARKWAY, ,10471,159,0,159,124925,217360,1953,2,D4,"$30,000.00",1/11/2017
5017,2,RIVERDALE,32 HOSPITAL AND HEALTH FACILITIES          ,4,5841,1945, ,I7,6355 BROADWAY, ,10471,0,1,1,35525,66000,1961,4,I7,"$15,000,000.00",4/7/2017
5257,2,SCHUYLERVILLE/PELHAM BAY,08 RENTALS - ELEVATOR APARTMENTS           ,2,4178,10, ,D3,3555 BRUCKNER BOULEVARD, ,10461,142,0,142,17500,112000,1960,2,D3,"$24,800,000.00",9/27/2016
5284,2,SCHUYLERVILLE/PELHAM BAY,21 OFFICE BUILDINGS                        ,4,4239,5, ,O7,3250 WESTCHESTER AVENUE, ,10461,0,19,19,76527,52830,1954,4,O7,"$33,000,000.00",11/14/2016
5680,2,SOUNDVIEW,07 RENTALS - WALKUP APARTMENTS             ,2,3716,32, ,C7,1064 WARD AVENUE, ,10472,54,5,59,12500,52815,1928,2,C7,"$10,000,000.00",9/8/2016
5734,2,SOUNDVIEW,08 RENTALS - ELEVATOR APARTMENTS           ,2,3867,23, ,D1,1340 STRATFORD AVENUE, ,10472,129,0,129,40789,95370,1966,2,D1,"$14,183,750.00",12/8/2016
6515,2,WESTCHESTER,27 FACTORIES                               ,4,3842,55, ,F5,1231 SEABURY AVENUE, ,10462,0,1,1,98712,70000,1990,4,F5,$1.00,4/3/2017
6922,2,WILLIAMSBRIDGE,08 RENTALS - ELEVATOR APARTMENTS           ,2,4649,41, ,D1,3780 BRONX BOULEVARD, ,10467,40,0,40,19974,53250,1953,2,D1,$0.00,8/24/2017
6925,2,WILLIAMSBRIDGE,08 RENTALS - ELEVATOR APARTMENTS           ,2,4821,51, ,D1,4040 BRONX BOULEVARD, ,10466,58,0,58,11745,54177,1929,2,D1,"$8,150,000.00",10/19/2016
7026,2,WOODLAWN,08 RENTALS - ELEVATOR APARTMENTS           ,2,3398,72, ,D1,4345 WEBSTER AVENUE, ,10470,60,0,60,25000,72150,1955,2,D1,"$14,500,000.00",10/5/2016
751,3,BAY RIDGE,08 RENTALS - ELEVATOR APARTMENTS           ,2,5938,40, ,D7,7502 RIDGE BLVD., ,11209,59,2,61,12000,50400,1936,2,D7,$0.00,11/21/2016
2128,3,BEDFORD STUYVESANT,08 RENTALS - ELEVATOR APARTMENTS           ,2,1852,12, ,D9,200 MACON STREET, ,11216,28,2,30,20000,91074,2013,2,D9,$0.00,7/6/2017
2431,3,BEDFORD STUYVESANT,17 CONDO COOPS                             ,2,1754,1002, ,R9,756 MYRTLE AVENUE,2,11206,72,0,72,0,89376,2007,2,R9,$0.00,9/8/2016
2432,3,BEDFORD STUYVESANT,17 CONDO COOPS                             ,2,1754,1002, ,R9,756 MYRTLE AVENUE,2,11206,72,0,72,0,89376,2007,2,R9,$0.00,9/8/2016
3035,3,BENSONHURST,08 RENTALS - ELEVATOR APARTMENTS           ,2,6335,29, ,D1,2160 84TH STREET,53,11214,53,0,53,12500,52500,1939,2,D1,$10.00,5/10/2017
3036,3,BENSONHURST,08 RENTALS - ELEVATOR APARTMENTS           ,2,6335,29, ,D1,2160 84TH STREET,53,11214,53,0,53,12500,52500,1939,2,D1,$10.00,5/2/2017
3037,3,BENSONHURST,08 RENTALS - ELEVATOR APARTMENTS           ,2,6335,29, ,D1,2160 84TH STREET,53,11214,53,0,53,12500,52500,1939,2,D1,$0.00,5/1/2017
3412,3,BOERUM HILL,08 RENTALS - ELEVATOR APARTMENTS           ,2,401,41, ,D6,110 4TH AVENUE, ,11217,49,1,50,6467,58590,2007,2,D6,$0.00,3/29/2017
4481,3,BOROUGH PARK,08 RENTALS - ELEVATOR APARTMENTS           ,2,5615,48, ,D1,4520 12TH AVENUE, ,11219,48,0,48,10000,54000,1940,2,D1,$0.00,10/21/2016
4484,3,BOROUGH PARK,08 RENTALS - ELEVATOR APARTMENTS           ,2,5628,1, ,D7,4711 12TH AVENUE, ,11219,61,2,63,16100,72000,1930,2,D7,$0.00,10/21/2016
4901,3,BRIGHTON BEACH,08 RENTALS - ELEVATOR APARTMENTS           ,2,8701,25, ,D8,108 NEPTUNE AVENUE, ,11235,44,1,45,18720,62500,2009,2,D8,$0.00,1/17/2017
5698,3,BROOKLYN HEIGHTS,26 OTHER HOTELS                            ,4,224,5, ,H8,107 COLUMBIA HEIGHTS, ,11201,0,1,1,20427,104239,1960,4,H8,"$87,500,000.00",5/9/2017
6002,3,BUSH TERMINAL,30 WAREHOUSES                              ,4,745,1, ,E9,201 46TH   STREET, ,11220,0,4,4,26033,52000,1900,4,E9,"$15,500,000.00",10/20/2016
6615,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS           ,2,3231,1, ,D5,757 BUSHWICK AVENUE, ,11221,70,0,70,18235,57257,1919,2,D5,"$11,700,000.00",4/6/2017
7884,3,CLINTON HILL,08 RENTALS - ELEVATOR APARTMENTS           ,2,1893,4, ,D1,97 GRAND STREET, ,11249,62,0,62,14775,60210,2007,2,D1,"$35,250,000.00",7/10/2017
7885,3,CLINTON HILL,08 RENTALS - ELEVATOR APARTMENTS           ,2,1893,4, ,D1,97 GRAND STREET, ,11249,62,0,62,14775,60210,2007,2,D1,$0.00,6/15/2017
8261,3,COBBLE HILL,32 HOSPITAL AND HEALTH FACILITIES          ,4,284,1, ,I1,355 HICKS STREET, ,11201,0,1,1,28388,64000,1972,4,I1,$0.00,5/4/2017
8427,3,CONEY ISLAND,08 RENTALS - ELEVATOR APARTMENTS           ,2,7280,110, ,D7,271 SEA BREEZE AVENUE, ,11224,89,1,90,21720,138300,2007,2,D7,"$13,500,000.00",6/7/2017
8584,3,CONEY ISLAND,21 OFFICE BUILDINGS                        ,4,7071,123, ,O2,3050 WEST 21ST   STREET, ,11224,0,1,1,24000,69500,1925,4,O2,"$13,175,224.00",5/25/2017
8586,3,CONEY ISLAND,22 STORE BUILDINGS                         ,4,7273,1, ,K4,486 NEPTUNE AVENUE, ,11224,0,28,28,220122,125991,1964,4,K4,"$9,000,000.00",6/6/2017
9169,3,CROWN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1156,25, ,D3,500 ST MARKS AVENUE, ,11238,65,1,66,24022,56350,1930,2,D3,$0.00,6/29/2017
9171,3,CROWN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1156,80, ,D5,545 PROSPECT PLACE, ,11238,159,0,159,23600,172800,1930,2,D5,$0.00,6/22/2017
9175,3,CROWN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1259,1, ,D7,341 EASTERN PARKWAY, ,11216,63,3,66,13825,84860,2009,2,D7,"$52,000,000.00",10/6/2016
9176,3,CROWN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1425,13, ,D7,1024 MONTGOMERY STREET, ,11213,102,7,109,26975,150372,1936,2,D7,$0.00,11/1/2016
10037,3,DOWNTOWN-FULTON FERRY,26 OTHER HOTELS                            ,4,30,12, ,H8,50 JAY STREET, ,11201,0,1,1,13812,86350,1913,4,H8,$0.00,6/30/2017
10109,3,DOWNTOWN-FULTON MALL,11A CONDO-RENTALS                           ,2,165,1003, ,RR,236 LIVINGSTON STREET,UNITB,11201,271,0,271,18175,169588,2009,2,RR,$0.00,12/15/2016
10340,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS                         ,4,160,18, ,K4,510 FULTON STREET, ,11201,0,1,1,13100,58300,1920,4,K4,$0.00,9/20/2016
10489,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,63,1, ,O6,55 PROSPECT STREET, ,11201,0,2,2,20704,206000,1967,4,O6,$0.00,3/31/2017
10490,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,63,1, ,O6,55 PROSPECT STREET, ,11201,0,2,2,20704,206000,1967,4,O6,"$138,106,368.00",3/31/2017
10491,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,63,1, ,O6,55 PROSPECT STREET, ,11201,0,2,2,20704,206000,1967,4,O6,$0.00,3/31/2017
10492,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,64,25, ,O6,81 PROSPECT STREET, ,11201,0,2,2,8253,81760,1909,4,O6,$0.00,3/31/2017
10493,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,64,25, ,O6,81 PROSPECT STREET, ,11201,0,2,2,8253,81760,1909,4,O6,"$50,584,955.00",3/31/2017
10494,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,64,25, ,O6,81 PROSPECT STREET, ,11201,0,2,2,8253,81760,1909,4,O6,$0.00,3/31/2017
10495,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,76,1, ,O6,117 ADAMS STREET, ,11201,0,2,2,20600,164115,1926,4,O6,$0.00,3/31/2017
10496,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,76,1, ,O6,117 ADAMS STREET, ,11201,0,2,2,20600,164115,1926,4,O6,"$98,463,962.00",3/31/2017
10497,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,76,1, ,O6,117 ADAMS STREET, ,11201,0,2,2,20600,164115,1926,4,O6,$0.00,3/31/2017
10498,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,77,1, ,O6,77 SANDS STREET, ,11201,0,5,5,14800,191800,1962,4,O6,$0.00,3/31/2017
10499,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,77,1, ,O6,77 SANDS STREET, ,11201,0,5,5,14800,191800,1962,4,O6,"$121,313,223.00",3/31/2017
10500,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,77,1, ,O6,77 SANDS STREET, ,11201,0,5,5,14800,191800,1962,4,O6,$0.00,3/31/2017
10501,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,87,5, ,O6,175 PEARL STREET, ,11201,0,3,3,21218,191688,1918,4,O6,"$102,873,750.00",3/31/2017
10502,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,147,36, ,O5,57 WILLOUGHBY STREET, ,11201,0,4,4,16525,96586,1929,4,O5,"$54,000,000.00",12/22/2016
10503,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,148,46, ,O6,81 WILLOUGHBY STREET, ,11201,0,1,1,10750,73860,1900,4,O6,$0.00,9/12/2016
11613,3,EAST NEW YORK,07 RENTALS - WALKUP APARTMENTS             ,2,3783,1, ,C1,379 SNEDIKER AVENUE, ,11207,150,0,150,100000,196200,1991,2,C1,"$13,000,000.00",3/22/2017
11757,3,EAST NEW YORK,27 FACTORIES                               ,4,3964,8, ,F2,2840 ATLANTIC AVENUE, ,11207,0,1,1,30550,76400,1914,4,F2,$0.00,1/20/2017
12141,3,FLATBUSH-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2,5058,57, ,D1,15-21 CROOKE AVENUE,54,11226,54,0,54,11500,52944,1938,2,D1,"$16,250,000.00",11/28/2016
12146,3,FLATBUSH-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2,5084,97, ,D1,95 LINDEN BLVD,120,11226,120,0,120,42750,139808,1927,2,D1,$0.00,5/15/2017
12147,3,FLATBUSH-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2,5107,3, ,D7,2255 BEDFORD AVENUE,57,11226,57,6,63,10200,51000,1926,2,D7,"$11,000,000.00",8/17/2017
12349,3,FLATBUSH-CENTRAL,38 ASYLUMS AND HOMES                       ,4,5136,8, ,HR,2520 TILDEN AVENUE, ,11226,117,1,117,33900,86360,2004,4,N2,"$31,000,000.00",12/22/2016
13342,3,FLATBUSH-LEFFERTS GARDEN,08 RENTALS - ELEVATOR APARTMENTS           ,2,1321,11, ,D1,320 STERLING STREET,113,11225,106,0,106,21725,88580,1928,2,D1,"$23,806,625.00",11/22/2016
13343,3,FLATBUSH-LEFFERTS GARDEN,08 RENTALS - ELEVATOR APARTMENTS           ,2,1327,34, ,D1,100 LEFFERTS AVENUE, ,11225,60,0,60,13685,57993,1929,2,D1,"$21,250,000.00",12/16/2016
13347,3,FLATBUSH-LEFFERTS GARDEN,08 RENTALS - ELEVATOR APARTMENTS           ,2,5044,68, ,D1,245 HAWTHORNE STREET, ,11225,78,0,78,20815,82542,1941,2,D1,$0.00,6/28/2017
13682,3,FLATBUSH-NORTH,08 RENTALS - ELEVATOR APARTMENTS           ,2,1333,6, ,D1,556 LEFFERTS AVENUE, ,11203,54,0,54,12000,55188,1938,2,D1,"$25,000,000.00",2/23/2017
13683,3,FLATBUSH-NORTH,08 RENTALS - ELEVATOR APARTMENTS           ,2,1333,13, ,D1,570 LEFFERTS AVENUE, ,11203,48,0,48,12000,50112,1938,2,D1,$0.00,2/23/2017
13997,3,FLATLANDS,10 COOPS - ELEVATOR APARTMENTS             ,2,7869,11, ,D4,2239 TROY AVENUE, ,11234,85,1,86,30712,113900,1953,2,D4,"$127,500.00",11/18/2016
14111,3,FORT GREENE,08 RENTALS - ELEVATOR APARTMENTS           ,2,2114,1, ,D9,67 HANSON PLACE, ,11217,103,0,103,5760,72781,1929,2,D9,"$6,145,934.00",6/30/2017
14171,3,FORT GREENE,11A CONDO-RENTALS                           ,2,2045,1001, ,RR,150 CLERMONT AVENUE,1,11205,52,0,52,19659,52513,2010,2,RR,$0.00,6/21/2017
14172,3,FORT GREENE,11A CONDO-RENTALS                           ,2,2107,1003, ,RR,590 FULTON STREET,TCU,11217,118,0,118,0,89037,2015,2,RR,$10.00,4/21/2017
14173,3,FORT GREENE,11A CONDO-RENTALS                           ,2,2107,1004, ,RR,590 FULTON STREET,OAU,11217,164,0,164,24697,125557,2015,2,RR,$0.00,4/21/2017
14174,3,FORT GREENE,11A CONDO-RENTALS                           ,2,2107,1005, ,RR,590 FULTON STREET,MCU1,11217,139,0,139,0,125189,2015,2,RR,$0.00,4/21/2017
14175,3,FORT GREENE,11A CONDO-RENTALS                           ,2,2107,1006, ,RR,590 FULTON STREET,MCU2,11217,165,0,165,0,112390,2015,2,RR,$0.00,4/21/2017
14507,3,GOWANUS,22 STORE BUILDINGS                         ,4,1007,172, ,K6,1 12TH   ST EXTENSION, ,11215,0,6,6,86250,108625,1968,4,K6,$0.00,10/6/2016
14530,3,GOWANUS,29 COMMERCIAL GARAGES                      ,4,1031,1, ,G1,433 HAMILTON AVENUE, ,11232,0,1,1,103383,65000,1926,4,G1,$0.00,3/16/2017
15052,3,GRAVESEND,08 RENTALS - ELEVATOR APARTMENTS           ,2,6621,22, ,D1,1650 W. 10TH STREET, ,11223,48,0,48,13000,54000,1938,2,D1,"$14,000,000.00",2/8/2017
15214,3,GRAVESEND,22 STORE BUILDINGS                         ,4,6491,207, ,K8,1752 SHORE PARKWAY, ,11214,0,1,1,499600,139557,2013,4,K8,"$225,000.00",11/18/2016
15664,3,GREENPOINT,27 FACTORIES                               ,4,2607,6, ,F9,306 NORTH HENRY, ,11222,0,2,2,95000,89300,1930,4,F9,$0.00,5/22/2017
15665,3,GREENPOINT,27 FACTORIES                               ,4,2607,6, ,F9,306 NORTH HENRY, ,11222,0,2,2,95000,89300,1930,4,F9,"$1,650,000.00",2/3/2017
15666,3,GREENPOINT,27 FACTORIES                               ,4,2607,6, ,F9,306 NORTH HENRY, ,11222,0,2,2,95000,89300,1930,4,F9,"$16,000,000.00",12/12/2016
15812,3,KENSINGTON,08 RENTALS - ELEVATOR APARTMENTS           ,2,5307,45, ,D1,70 DAHILL ROAD,100,11218,122,0,122,22000,149450,1934,2,D1,"$33,000,000.00",6/16/2017
15898,3,KENSINGTON,33 EDUCATIONAL FACILITIES                  ,4,5338,51, ,M9,222 OCEAN PARKWAY, ,11218,0,1,1,10736,99000,1921,4,W2,$0.00,12/20/2016
15899,3,KENSINGTON,37 RELIGIOUS FACILITIES                    ,4,5322,44, ,M1,58 CATON PLACE, ,11218,0,1,1,34660,51800,1997,4,M1,$0.00,12/6/2016
16158,3,MADISON,08 RENTALS - ELEVATOR APARTMENTS           ,2,6826,77, ,D1,2285 OCEAN AVENUE,84,11229,84,0,84,22000,96600,1937,2,D1,$0.00,2/1/2017
17743,3,OCEAN HILL,07 RENTALS - WALKUP APARTMENTS             ,2,1467,1, ,C1,495 HOWARD AVENUE, ,11233,72,0,72,52501,72000,1973,2,C1,"$575,000.00",9/13/2016
18399,3,OCEAN PARKWAY-NORTH,32 HOSPITAL AND HEALTH FACILITIES          ,4,6536,30, ,I9,1504 CONEY ISLAND AVENUE, ,11230,0,11,11,12000,145983,0,4,I9,$0.00,8/24/2017
18662,3,OCEAN PARKWAY-SOUTH,10 COOPS - ELEVATOR APARTMENTS             ,2,6681,415, ,D4,1802 OCEAN PARKWAY,113,11223,113,0,113,20750,138600,1926,2,D4,$0.00,12/1/2016
19705,3,PARK SLOPE,38 ASYLUMS AND HOMES                       ,4,1066,35, ,N2,1 PROSPECT PARK WEST, ,11215,134,3,137,18500,153067,1931,4,N2,"$84,000,000.00",10/11/2016
19997,3,PROSPECT HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1176,9, ,D1,340 ST JOHNS PLACE,58,11206,58,0,58,20000,97000,1924,2,D1,$0.00,6/30/2017
19998,3,PROSPECT HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1176,9, ,D1,340 ST. JOHN'S PLACE,58,11238,58,0,58,20000,97000,1924,2,D1,$0.00,6/30/2017
20372,3,RED HOOK,27 FACTORIES                               ,4,492,20, ,F5,628 SMITH STREET, ,11231,0,9,9,20000,60000,1920,4,F5,$0.00,5/30/2017
20393,3,RED HOOK,30 WAREHOUSES                              ,4,573,1, ,E1,100 FERRIS, ,11231,0,1,1,67886,50000,1995,4,E1,"$13,600,000.00",5/1/2017
20918,3,SHEEPSHEAD BAY,08 RENTALS - ELEVATOR APARTMENTS           ,2,7380,34, ,D1,2686 OCEAN AVENUE,48,11229,48,0,48,15000,54000,1934,2,D1,"$13,000,000.00",2/8/2017
20919,3,SHEEPSHEAD BAY,08 RENTALS - ELEVATOR APARTMENTS           ,2,7397,34, ,D1,1245 AVENUE X,135,11235,135,0,135,32470,124636,1963,2,D1,"$37,000,000.00",1/24/2017
20920,3,SHEEPSHEAD BAY,08 RENTALS - ELEVATOR APARTMENTS           ,2,8763,7, ,D1,1115 BANNER AVENUE, ,11235,45,0,45,22400,56652,2007,2,D1,"$46,900,000.00",3/16/2017
20921,3,SHEEPSHEAD BAY,08 RENTALS - ELEVATOR APARTMENTS           ,2,8763,13, ,D1,1139-1147 BANNER AVENUE, ,11235,45,0,45,16400,56827,2007,2,D1,$0.00,3/16/2017
20922,3,SHEEPSHEAD BAY,08 RENTALS - ELEVATOR APARTMENTS           ,2,8773,39, ,D6,1809 EMMONS AVENUE, ,11235,30,4,34,41700,66357,2016,2,D6,"$1,114,000.00",6/27/2017
