,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
23732,3,WILLIAMSBURG-SOUTH,21 OFFICE BUILDINGS                        ,4,2151,6, ,O2,185 MARCY AVENUE, ,11211,0,20,20,12606,57425,1905,4,O2,29950000,42775
3988,4,COLLEGE POINT,30 WAREHOUSES                              ,4,4387,1, ,E7,3140 WHITESTONE EP SR W, ,11357,0,1,1,83269,98853,1920,4,E7,27000000,42902
5196,4,EAST ELMHURST,26 OTHER HOTELS                            ,4,1071,1, ,H4,9400 DITMARS BOULEVARD, ,11369,0,172,172,76712,78496,1956,4,H4,5004641,42621
13359,4,HOLLIS,30 WAREHOUSES                              ,4,10352,79, ,E9,184-10 JAMAICA AVENUE, ,11423,0,16,16,57100,226605,1920,4,E9,78000000,42937
17118,4,LONG ISLAND CITY,27 FACTORIES                               ,4,410,46, ,F1,21-07 41ST   AVENUE, ,11101,0,2,2,20630,91145,1913,4,F1,25000000,42899
17119,4,LONG ISLAND CITY,27 FACTORIES                               ,4,440,1, ,F1,43-10 23RD   STREET, ,11101,0,1,1,36650,130000,1924,4,F1,54000000,42878
17141,4,LONG ISLAND CITY,29 COMMERCIAL GARAGES                      ,4,365,1, ,G9,22-11 38TH   AVENUE, ,11101,0,2,2,30000,57755,2015,4,G9,23000000,42734
17681,4,MASPETH,30 WAREHOUSES                              ,4,2573,124, ,E1,55-30 58TH   STREET, ,11378,0,0,0,106500,106000,1950,4,E1,20600000,42683
21277,4,RICHMOND HILL,27 FACTORIES                               ,4,9331,30, ,F1,87-46 123RD STREET, ,11418,0,1,1,95123,138000,1931,4,F1,18100000,42902
3622,5,MARINERS HARBOR,27 FACTORIES                               ,4,1161,1, ,F5,125 LAKE AVENUE, ,10303,0,1,1,294144,166543,1945,4,F5,8050000,42682
5202,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,4,2400,210, ,K3,140 MARSH AVENUE, ,10314,0,1,1,754754,179200,1993,4,K3,4346648,42811
7048,5,TODT HILL,33 EDUCATIONAL FACILITIES                  ,4,683,301, ,W1,MILFORD DRIVE, ,0,0,1,1,78672,126468,1965,4,W1,1,42713
8412,5,WOODROW,22 STORE BUILDINGS                         ,4,7100,28, ,K6,2730 ARTHUR KILL ROAD, ,10309,0,7,7,208033,64117,2001,4,K6,11693337,42725
